Name	Theta	Phi
B6	0	0
B7	23	90
B4	23	30
B5	23	-30
A30	23	-90
B14	-23	30
B13	-23	-30
B3	46	74
A7	46	41
A11	46	8
A12	46	-25
A31	46	-57
A32	46	-90
A29	-46	57
B15	-46	25
B16	-46	-8
B12	-46	-41
B8	-46	-74
B2	69	76
A6	69	49
A8	69	21
A10	69	-7
A13	69	-35
A20	69	-62
A27	69	-90
A28	-69	62
B24	-69	35
B23	-69	7
B17	-69	-21
B11	-69	-49
B9	-69	-76
B1	92	90
A1	92	62
A5	92	34
A9	92	6
A14	92	-21
A19	92	-49
A21	92	-76
A26	-92	76
B25	-92	49
B30	-92	21
B22	-92	-6
B18	-92	-34
B10	-92	-62
A2	115	35
A4	115	10
A15	115	-15
A18	115	-40
A22	115	-65
A25	115	-90
B26	-115	65
B29	-115	40
B31	-115	15
B21	-115	-10
B19	-115	-35
A3	138	23
A16	138	-15
A17	138	-40
A23	138	-65
A24	138	-90
B27	-138	65
B28	-138	40
B32	-138	15
B20	-138	-23
CMS	58	-75
DRL	-58	75
