Name	Theta	Phi
A1	92	62
A2	115	35
A3	138	23
A4	115	10
A5	92	34
A6	69	49
A7	46	41
A8	69	21
A9	92	6
A10	69	-7
A11	46	8
A12	46	-25
A13	69	-35
A14	92	-21
A15	115	-15
A16	138	-15
A17	138	-40
A18	115	-40
A19	92	-49
A20	69	-62
A21	92	-76
A22	115	-65
A23	138	-65
A24	138	-90
A25	115	-90
A26	-92	76
A27	69	-90
A28	-69	62
A29	-46	57
A30	23	-90
A31	46	-57
A32	46	-90
B1	92	90
B2	69	76
B3	46	74
B4	23	30
B5	23	-30
B6	0	0
B7	23	90
B8	-46	-74
B9	-69	-76
B10	-92	-62
B11	-69	-49
B12	-46	-41
B13	-23	-30
B14	-23	30
B15	-46	25
B16	-46	-8
B17	-69	-21
B18	-92	-34
B19	-115	-35
B20	-138	-23
B21	-115	-10
B22	-92	-6
B23	-69	7
B24	-69	35
B25	-92	49
B26	-115	65
B27	-138	65
B28	-138	40
B29	-115	40
B30	-92	21
B31	-115	15
B32	-138	15
